SC_337	68819	361532	159270	463262	1917574	6992365	1262401	463621	134996	107644	141389	221778	300916	809403	1908965	526572	229927	45395	20364	7021	2110	966	830	442	282	199	159	152	943	0	0	0	0	82310
SC_340	79927	619629	133833	577668	3264972	9093786	1609997	524905	124728	100568	160600	336987	531574	2061407	5747432	629475	315283	47873	25679	6860	2540	1218	1209	610	466	356	347	375	1555	0	0	0	0	91896
SC_343	31187	475882	68735	324478	1298208	4874297	770541	242957	54872	51235	79717	211491	296779	1719967	7042938	1228794	921144	140855	95410	99652	28945	11456	16148	5003	2496	1281	943	703	2653	0	0	0	0	108153
SC_344	65373	303348	167954	593075	2755475	9123156	2060398	648884	141095	114920	173144	330547	391953	1127022	2892516	737171	349586	116205	142847	56866	24947	10073	8018	3160	1507	1073	613	618	3009	0	0	0	0	112383
SC_345	46432	51482	90738	286272	1070501	2800826	613250	172607	30568	23754	30380	34273	20553	27288	90152	19265	18907	3142	2798	971	605	273	576	224	172	111	127	104	559	0	0	0	0	64258
SC_346	8634	13675	18012	62690	231779	484288	193758	65207	14288	12855	17332	19622	18221	21748	91625	64800	89342	18329	21210	8342	3937	1267	1973	641	338	219	180	172	652	0	0	0	0	29071
SC_350	47487	399901	75825	344659	1620302	4147861	1164216	416072	122091	106870	197238	363167	701636	2234214	7015068	1146123	740053	156313	83959	35886	20085	5309	3793	1897	1141	842	717	600	1096	0	0	0	0	83941
SC_359	95218	190117	291535	1428166	8083977	17391699	3372728	1110021	105946	64422	137564	286101	140204	265022	586853	139442	65437	17230	17535	3366	2169	1145	1111	597	411	280	205	223	517	0	0	0	0	161605
SC_360	33936	207304	102435	433531	2580713	8715374	1594578	602328	107252	82904	159580	370520	398994	1617752	6761081	1623083	1599843	358232	177303	55832	12851	4158	3620	2258	1562	1251	957	909	3080	0	0	0	0	174390
SC_363	74472	181295	219906	710917	3240226	11532699	2774199	860318	146192	120024	175158	285079	207469	417448	1750427	629293	637625	139949	183822	69921	22823	5083	6661	2363	1260	790	627	689	2555	0	0	0	0	134771
SC_366	27681	186452	110178	445992	2459865	7949407	2082189	827655	144665	115883	199158	320539	257930	478658	1872101	1368157	1424028	314579	284354	110633	33606	10522	11903	4176	2616	1733	1384	1337	4167	0	0	0	0	122683
SC_371	66815	208649	237089	673298	3441870	6737212	3154080	1361592	521705	477618	640822	705201	600482	700779	1647126	1888518	1598215	617167	534929	149995	63522	15445	11815	5572	3828	2487	1798	1336	3600	0	0	0	0	124487
SC_372	15210	122750	31336	139277	353966	632442	243127	90167	34673	34676	39197	50490	46507	116143	443870	225521	233241	31769	36448	10338	4288	1078	1215	418	317	145	143	103	303	0	0	0	0	21241
SC_373	58348	313815	154285	652737	3422680	7897688	2740831	1191191	465206	406506	553883	776476	756313	1528993	5193159	1686835	1547634	346379	237083	95243	48747	18493	14111	6260	4312	3201	2622	2486	4585	0	0	0	0	176064
SC_375	43014	369009	132398	819348	3748618	11479159	1846506	607693	88671	67848	144107	352159	360789	1266014	3805317	953509	869162	108246	87260	32483	10701	3203	2888	1034	691	399	398	405	1484	0	0	0	0	127599
SC_380	24817	152183	95035	525009	2778414	13221115	2189743	797848	98016	72422	131130	271632	164339	494079	3130247	511231	459263	59604	71257	33103	7340	2617	2793	1040	490	287	270	211	968	0	0	0	0	105714
SC_387	32111	186409	98122	463267	2683344	8883844	1606124	686473	141956	120857	217779	507162	388402	1593545	7390674	1133365	853418	199453	250034	112959	60675	24161	23992	12260	8138	7229	6862	8372	48605	0	0	0	0	825340
SC_390	26349	218979	97403	477458	1962896	7051897	1134779	361132	59407	49886	84883	201849	181042	1192995	7406810	1208801	1073212	299503	135755	68578	22030	8289	11721	3752	1708	1088	1021	962	2917	0	0	0	0	116609
SC_394	68287	140782	206443	787924	3396325	14459591	1856059	579607	69381	49902	105238	255628	131590	494109	3395674	588486	407485	83192	112487	53599	18754	7570	10937	3119	1447	715	635	521	2000	0	0	0	0	134357
SC_398	52867	271141	173492	967694	4855000	13964532	2875761	988723	137499	98899	245542	571904	383141	1101717	3851029	973467	906329	160178	167858	48922	20387	8328	5987	2814	1651	1153	1104	1219	5150	0	0	0	0	206857
SC_400	77102	303093	256364	1134802	4932069	10136358	2430652	782771	212430	173143	251712	380408	365302	913219	3801109	1159124	859208	232609	159560	86540	51598	24861	18679	8782	4273	2559	1824	1829	5077	0	0	0	0	216725
SC_403	31784	118607	140087	817932	4421503	10182094	2712661	910962	141829	109386	215155	389434	249370	579493	2296063	1109699	554376	60438	49239	16109	7015	2982	2737	1700	1133	939	996	1220	2316	0	0	0	0	140380
SC_408	46037	235700	119942	598009	2846714	6407802	1392398	492241	82134	62274	147326	312669	376983	1655232	6276467	930431	455252	92556	63417	20895	7984	2118	1743	1067	626	583	567	506	1464	0	0	0	0	93207
SC_409	63599	323339	172402	803354	3644357	7800294	2228848	738656	179417	143714	234381	350713	460286	1229073	4245870	991456	673055	117888	60977	31900	10183	3530	2493	1481	998	856	668	861	2263	0	0	0	0	152112
SC_410	47904	327379	136684	671516	2732276	10381396	1723290	566850	103339	82792	144753	351191	350918	1352735	4437450	975504	711840	130495	77958	23119	6767	2201	1876	685	403	246	159	177	510	0	0	0	0	126192
SC_413	25039	300347	71833	274702	1667443	7724451	1325228	516861	138375	121506	195238	505045	379891	2555140	14073776	2256389	1810854	404031	292547	138386	42654	18844	17542	5722	2460	1210	914	712	2801	0	0	0	0	154487
SC_414	26533	317425	73339	359625	2086620	7993196	1400468	521533	123791	111599	185579	450046	454044	2603260	10453114	1637239	1164410	209513	199370	107907	39514	13887	13873	3976	1625	771	620	409	1098	0	0	0	0	130986
SC_417	19944	143138	105689	667527	3816081	17189673	2543848	931121	140104	118691	220874	526040	306297	590052	3388534	873201	616214	133366	131016	36496	10315	3526	3135	1205	708	408	306	264	833	0	0	0	0	118486
SC_421	53803	1500902	108455	493082	1819669	6534005	1454660	411537	96822	81468	127283	279875	458419	2893491	8924943	737364	240274	33146	19584	6816	2610	1299	1558	616	364	223	185	168	559	0	0	0	0	114454
SC_428	34230	249252	90893	565826	2875602	7560753	2058603	696699	115291	88422	191952	384601	447975	1894162	9249827	1934696	1237554	244119	138471	58631	26261	7864	5331	2659	1307	816	681	615	860	0	0	0	0	100640
SC_429	54477	156963	207876	952055	4352434	13385208	2300632	656453	84844	56865	106698	207518	133403	422558	2343309	378656	274562	58808	60412	18778	7680	2195	2667	873	451	294	237	226	668	0	0	0	0	185191
SC_433	39259	196118	162242	702405	3226543	10967794	1562605	470102	69728	52784	107041	261149	174812	749861	3043253	473325	302288	69786	67537	19869	6320	2131	2209	763	413	278	201	172	607	0	0	0	0	158387
SC_439	24853	174215	78886	429650	2375546	8123432	1557977	563901	82983	61018	109202	330997	258329	1428241	8082972	1253171	1055593	367563	233921	93926	40964	19099	19512	7295	3364	1626	934	735	1825	0	0	0	0	137807
SC_443	56238	388143	129776	690711	3426712	9137688	2094520	647725	108209	75514	160165	315817	368782	1645487	5137966	748715	342114	74019	49742	14088	5920	2155	1893	1000	640	454	474	503	1380	0	0	0	0	133417
